nome,estado,OBS,Mata Atlântica,Pampa,Pantanal,Caatinga,Cerrado,Amazônia
Morro do Chapéu,BA,,0,0,0,1,0,0
Alto vale do Ribeira,PR/SP,,1,0,0,0,0,0
Alto Rio Contas,BA,,0,0,0,1,0,0
São Desidério,BA,,0,0,0,1,0,0
Quadrilátero ferrífero,MG,,1,0,0,0,1,0
Litoral Sul de Pernambuco,PE,Mata A. devastada e mangue,1,0,0,0,0,0
Sertão Monumental,CE,,0,0,0,1,0,0
Cachoeiras do Amazonas,AM,,0,0,0,0,0,1
Pireneus,GO,,0,0,0,0,1,0
Astroblema De Araguainha-Ponte Branca,GO/MT,,0,0,0,0,1,0
Bodoquena-Pantanal,MS,Influência mata atlântica,1,0,1,0,1,0
Chapada dos Guimarães,MT,,0,0,0,0,1,0
Fernando de Noronha,PE,Incerto,1,0,0,0,0,0
Seridó,RN,,0,0,0,1,0,0
Quarta Colônia,RS,,1,1,0,0,0,0
Caminhos dos Cânions do Sul,RS/SC,,1,0,0,0,0,0
Serra da Capivara,PI,,0,0,0,1,0,0
Uberaba: Terra dos dinossauros,MG,,1,0,0,0,1,0
Catimbau-Pedra Furada,PE,Pouca mas tem.,1,0,0,0,0,0
Sete Cidades-Pedro II,PI,,0,0,0,1,1,0
Chapada Diamantina,BA,,1,0,0,1,1,0
Rio de Contas,BA,,0,0,0,1,1,0
Monte Alegre,PA,,0,0,0,0,0,1
Alto Alegre dos Parecis,RO,,0,0,0,0,0,1
Serra da Canastra,MG,,0,0,0,0,1,0
Chapada dos Veadeiros,GO,,0,0,0,0,1,0
Canudos,BA,,0,0,0,1,0,0
Cânion do São Francisco,SE/AL,,0,0,0,1,0,0
Rio do Peixe,PB,,0,0,0,1,0,0
Vale Monumental,CE,Meio incógnito (em criação?),0,0,0,0,0,0
Tepuis,RR,Amazonico acho,0,0,0,0,0,1
Cânion do Rio Potí,PI,,0,0,0,1,0,0
Delta do Parnaíba,PI,,0,0,0,1,1,0
Ubajara,CE,Inserido na caatinga mas com partes de mata atlântica,1,0,0,1,0,0
Guaritas-Minas do Camaquã,RS,,0,1,0,0,0,0
Costões e Lagunas do Estado do Rio de Janeiro,RJ,,1,0,0,0,0,0
Ciclo do Ouro de Guarulhos,SP,,1,0,0,0,0,0
Campos Gerais,PR,,1,0,0,0,1,0
Inselbergs de Itatim - Milagres,BA,Não tenho certeza se é mata atlântica,0,0,0,1,0,0
Iraquara,BA,Não tenho certeza,0,0,0,1,0,0
